Baseline,PE,SC_PE
0.78869048,0.981773908,0.981773908
0.4691187,0.526771654,0.584951881
0.37204983,0.502148228,0.685699588
0.2997449,0.857694429,0.857694429
0.34883721,0.94217024,0.94217024
0.64637681,0,0.970804989
0.99902344,0.908203125,0.974657012
0.88194444,0,0
0.61131725,0.974657012,0.974657012
0.57690244,0.514615385,0.587484036
0.67771084,0.983321949,0.983321949
0.2395184,0.511111111,0.511111111
0.68988465,0.641104927,0.94217024
0.99902344,0.974657012,0.974657012
0.79375,0.974657012,0.974657012
0.34060252,0.78898013,0.78898013
0.76013514,0.409902597,0.75
0.7744,0.930769231,0.930769231
0.50510744,0.593884874,0.530950988
0.45718639,0.531462237,0.521142582
0.64726563,0.953647143,0.953647143
0.99854227,0.970804989,0.970804989
0.99902344,0.974657012,0.974657012
0.35177748,0.547619048,0.547619048
0.81017949,0.974657012,0.974657012
0.46598316,0.576967593,0.543255433
0.35818849,0.61656051,0.61656051
0.12237762,0.099009901,0.123762376
0.54373522,0.872252747,0.94217024
0.99902344,0.694444444,0.68597561
0.99902344,0.810179493,0.974657012
0.10471204,0.393162393,0.393162393
0.703125,0.489473684,0.489473684
0.88807339,0.733185841,0.733185841
0.12578616,0.232323232,0.27479092
0.83790913,0.8,0.8
0.99902344,0.128205128,0.908203125
0.82005973,0.862937768,0.974657012
0.35702247,0.664285714,0.889285714
0.32072477,0.547048399,0.547048399
0.42652027,0.933823529,0.331890332
0.99902344,0.974657012,0.974657012
0.50626426,0.123355263,0.065789474
0.30288306,0.974657012,0.854119426
0.24824219,0.889285714,0.889285714
0.52765957,0.668145161,0.896296296
0.97052585,0.953647143,0.953647143
0.99902344,0.783572688,0.783572688
0.99902344,0.974657012,0.974657012
0.0952381,0.517418033,0.517418033
0.25923883,0.862937768,0.862937768
0.44375574,0.981773908,0.981773908
0.9563253,0.933823529,0.933823529
0.99902344,0.810179493,0.810179493
0.43899576,0.98462435,0.98462435
0.29569892,0.685194188,0.620860927
0.0990099,0.526041667,0.526041667
