meteor,bert_f1,halluc,P_Hallucinatory,P_Bad,P_Good,P_Perfect
0.810179493484141,0.916668236255646,1,0.11937547118367532,0.03822645019431349,0.2708472792458231,0.5715507993761881
0.866013071895425,0.950532793998718,2/3,0.10375153055786528,0.034005990627125046,0.2525446204922902,0.6096978583227195
0.872252747252747,0.94262683391571,1,0.10246273196791503,0.0336477209955747,0.2508803318506019,0.6130092151859083
0.126512651265126,0.825402021408081,2/3,0.4581273709365347,0.08036967760436792,0.28530071918146604,0.17620223227763132
0.820059731209557,0.93894624710083,1,0.11593982932079824,0.03731775225882644,0.26710689326058945,0.5796355251597859
0.413411458333333,0.910052597522736,1,0.2787387125418819,0.06910082888816482,0.3333947206992218,0.3187657378707315
0.970804988662132,0.943071484565735,2/3,0.08091390392490364,0.027425480402315947,0.21909374057355818,0.6725668750992222
0.695452008928571,0.927533626556397,1,0.15453324389267395,0.046909365472151604,0.3012315674063208,0.49732582322885366
0.973351400180669,0.966148436069489,1,0.07987710705569095,0.02711497091035335,0.21736021786380572,0.67564770417015
0.887107038309788,0.942320346832275,2/3,0.09892724557000457,0.032656915092511174,0.2461856871004723,0.622230152237012
0.75,0.933957636356354,2/3,0.13643080707222804,0.0425777383467108,0.28727270185309345,0.5337187527279676
0.974657012195122,0.970922946929932,2/3,0.07951378862752971,0.02700591704913366,0.216747959895066,0.6767323344282706
0.970804988662132,0.949067115783691,1,0.08077270633729237,0.02738325385146137,0.21885884403275074,0.6729851957784956
0.751996450754215,0.920099437236786,2/3,0.13632847155443076,0.04255241667927487,0.28718413615218413,0.5339349756141103
0.785141867013212,0.935951769351959,0,0.12581364880871002,0.039900131919446996,0.2774540532107355,0.5568321660611075
0.974657012195122,0.96974116563797,1,0.07954120589015856,0.027014151047931687,0.21679425013164982,0.6766503929302599
0.836974789915967,0.902230083942413,2/3,0.11260632916343684,0.03642566885280131,0.26332882393320634,0.5876391780505555
0.778186274509804,0.908476293087006,1,0.1288174617966688,0.04066805942967264,0.28036399317431204,0.5501504855993464
0.965391621129326,0.951238095760346,2/3,0.08178652319621575,0.027686022233021385,0.22053719183030912,0.6699902627404537
0.970804988662132,0.94976019859314,1,0.08075639868169764,0.027378375653347067,0.21883169058177554,0.6730335350831798
0.965501792114695,0.965519070625305,2/3,0.08142555616208312,0.02757833512502178,0.21994181112227623,0.6710542975906189
0.866013071895425,0.950757145881653,0,0.10374491906897129,0.034004156679189185,0.2525361459124805,0.609714778339359
0.965501792114695,0.951665759086609,1,0.08175454843783025,0.027676488255159518,0.22048454998441702,0.6700844133225932
0.862771739130435,0.943318486213684,1/3,0.1047626989581119,0.03428599605914255,0.25383312158570503,0.6071181833970405
0.436507936507937,0.897339940071106,0,0.2674576696367777,0.06760336918457671,0.33370661069929364,0.33123235047935196
0.728249194414608,0.856535732746124,0,0.1463646207845266,0.044990955017939704,0.29534085961062456,0.5133035645869091
0.981773907910272,0.963383316993713,2/3,0.07832426663859196,0.02664798295305404,0.21472584659773883,0.6803019038106152
0.974657012195122,0.958447515964508,1,0.07980365390736772,0.027092933385620452,0.21723663715015207,0.6758667755568597
0.942170240415855,0.939315557479858,1,0.08680005758665375,0.02916883373852433,0.2285611569330791,0.6554699517417428
0.970804988662132,0.95179283618927,1,0.08070858974637751,0.02736407283659341,0.21875205650139523,0.6731752809156338
0.75,0.939734518527985,2/3,0.136215244756462,0.042524389094351356,0.28708601119131194,0.5341743549578748
0.846637228260869,0.965838730335236,2/3,0.10812752707813919,0.035210894921651054,0.2580134644935537,0.598648113506656
0.785141867013212,0.931670665740967,2/3,0.12596295122868467,0.039938495345526875,0.2776012298510637,0.5564973235747247
0.854119425547997,0.947325646877289,2/3,0.10679919141618674,0.03484703173324949,0.2563827166392251,0.6019710602113387
0.889285714285714,0.962965905666351,2/3,0.09783760468376218,0.03234918291329389,0.24469989984760435,0.6251133125553396
0.895294540229885,0.930091977119446,1,0.0973606525224493,0.032214132678418356,0.24404368483567626,0.6263815299634561
0.697321615400712,0.890214085578919,2/3,0.15543701739862414,0.047117983614501174,0.3018443148439667,0.49560068414290803
0.260570304818092,0.904834747314453,1,0.3667192999114413,0.07747917767386153,0.3178347940395415,0.23796672837515565
0.817901234567901,0.942161321640015,1,0.11641924725752018,0.0374452065773794,0.2676380749441436,0.5784974712209567
0.746698679471789,0.914334654808044,1,0.13819801268841866,0.043013523220821775,0.28878416112247207,0.5300043029682875
0.873310363106281,0.951414048671722,2/3,0.10195145498417683,0.03350516207121092,0.25021319769343736,0.6143301852511749
0.846637228260869,0.932482540607452,0,0.10915122808330421,0.03549019179520746,0.25925308572580896,0.5961054943956794
0.0588235294117647,0.812396049499512,1,0.5036518526313608,0.07975748808026284,0.26533469012438804,0.1512559691639883
0.772229060430221,0.906073153018951,1,0.1306759326654991,0.041139070133311306,0.28211129684169944,0.5460737003594902
0.63144183939291,0.928448379039764,0,0.17783359390633444,0.0520590884420237,0.31475851149436174,0.45534880615728013
0.780859375,0.894165098667145,2/3,0.12853622676150916,0.04059650988187,0.2800960747973711,0.5507711885592497
0.771194306930693,0.916367292404175,2/3,0.13061508017815857,0.041123697339295606,0.2820547176089818,0.546206504873564
0.881519274376417,0.937755405902863,1,0.10037813729251217,0.033064939498801696,0.24813542003610525,0.6184215031725808
0.596301020408163,0.914278924465179,2/3,0.19247568115665756,0.05505492897963368,0.32107713917151953,0.4313922506921892
0.891621312907344,0.946291863918304,1/3,0.0977608273721616,0.03232745766872375,0.24459450776405053,0.6253172071950641
0.654323585104145,0.913816213607788,0,0.16984113909480128,0.050345980360096576,0.3106294851172342,0.4691833954278679
0.119047619047619,0.888293027877808,1,0.45806269598529903,0.08036960556918393,0.2853276457739111,0.17624005267160592
0.77530809484037,0.965997159481049,2/3,0.12762749628734402,0.040364826233907636,0.27922401445553613,0.5527836630232122
0.403225806451613,0.926159977912903,0,0.2831294618720882,0.06965691226594334,0.33314916561507885,0.3140644602468896
0.977589908749329,0.954338610172272,1,0.07933300839951775,0.026951606765062197,0.21644238081863537,0.6772730040167847
0.426388888888889,0.905077636241913,1,0.2722281464980765,0.06824872753226846,0.33363222313881563,0.32589090283083944
0.942170240415855,0.94158935546875,1,0.08674295348534977,0.029152079491452168,0.22847229490192789,0.6556326721212702
0.651889263000374,0.919278144836426,1,0.17050254189696776,0.05048984786854996,0.310990525570611,0.46801708466387126
0.390625,0.903140366077423,1,0.2914213820312116,0.07066652747078123,0.3325061333054689,0.30540595719253827
0.202702702702703,0.885006606578827,1,0.40430855281491734,0.07935546223658235,0.30595524078578384,0.21038074416271646
0.628268189364905,0.940166652202606,2/3,0.1785143572545869,0.05220245139324972,0.3150871592101703,0.4541960321419931
0.0934579439252336,0.844767987728119,0,0.47828418125728367,0.0802608774592285,0.27669896247600145,0.16475597880748638
0.292047184170472,0.870911359786987,0,0.35012008139026635,0.07633379797402662,0.3222412418104675,0.25130487882523955
0.66889880952381,0.905191123485565,1,0.16487034549349738,0.0492525465432484,0.3078002443093119,0.4780768636539423
0.932355967078189,0.93550032377243,1,0.0889700029289712,0.029803193793400892,0.23189573504397265,0.6493310682336553
0.072463768115942,0.876882791519165,1,0.48955810171255815,0.08008707318900993,0.27171757478934044,0.15863725030909148
0.810179493484141,0.920177757740021,1,0.11925859426136631,0.03819571560648713,0.2707225414181986,0.571823148713948
0.591762486525333,0.922225892543793,1,0.19394734747626372,0.05534592568234392,0.3216287729194771,0.4290779539219153
0.677551020408163,0.897516906261444,2/3,0.16208508882113665,0.048630432242491195,0.30612343175427265,0.4831610471820995
0.702317964222726,0.960355043411255,2/3,0.15084687815884532,0.04605095371382942,0.29865282528083026,0.504449342846495
0.0384615384615385,0.850723743438721,1/3,0.514025579204531,0.07943607093286909,0.26053446974427463,0.14600388011832532
0.974657012195122,0.954813420772553,2/3,0.07988827304864994,0.027118320495296583,0.2173789950871004,0.6756144113689531
0.477128782547502,0.934674739837647,2/3,0.24481992038227926,0.0642959303786925,0.33281238696028087,0.3580717622787474
0.942170240415855,0.932510077953339,1,0.08697117354777024,0.02921902028724417,0.22882709445194413,0.6549827117130415
0.970804988662132,0.944853007793427,1,0.08087192542367094,0.02741292830706088,0.21902394398452968,0.6726912022847384
0.953647143370464,0.950622141361237,2/3,0.08415598455457775,0.028389808403679925,0.22438594071855428,0.663068266323188
0.416666666666667,0.879634320735931,0,0.2789523666120735,0.06912823350128527,0.33338433867332357,0.31853506121331765
0.018796992481203,0.841947734355927,0,0.5276510029345763,0.07891357670471577,0.25410871221957665,0.13932670814113124
0.877511498426531,0.923402190208435,1,0.10175086133748597,0.03344916388467169,0.24995037812596352,0.6148495966518788
0.942170240415855,0.941334009170532,1,0.08674936455032259,0.029153960641795526,0.2284822742797024,0.6556144005281794
0.974657012195122,0.954548418521881,1,0.07989444677443314,0.02712017244395258,0.21738937608472814,0.6755960046968861
0.974657012195122,0.959971845149994,1,0.07976818459765128,0.027082289976619878,0.21717692558020874,0.6759725998455202
0.104166666666667,0.897695362567902,1/3,0.46707001077476795,0.08035360653337031,0.28153511476092075,0.171041267930941
0.420869565217391,0.895758807659149,2/3,0.27570853423286185,0.06870834339726822,0.3335244046809971,0.32205871768887284
0.671470905172414,0.882639169692993,0,0.16492122991228955,0.049263848922936115,0.3078302584485423,0.4779846627162321
0.182038834951456,0.848023116588593,1/3,0.420341534976111,0.0798599083181723,0.30019993987488314,0.19959861683083358
0.755932203389831,0.93116819858551,2/3,0.13470252617856923,0.04214882885518745,0.28576153485562805,0.5373871101106152
0.350076103500761,0.868315994739533,2/3,0.316348794267238,0.07338646460372633,0.32927832914137317,0.2809864119876625
0.933823529411765,0.942387819290161,1,0.08848083844205959,0.029660582602877197,0.2311511617584575,0.6507074171966056
0.970804988662132,0.944724082946777,1,0.08087496264699635,0.027413836531363797,0.21902899500336404,0.6726822058182758
0.0609756097560976,0.819511711597443,1,0.5016703740695049,0.07981130820141746,0.2662419934329038,0.15227632429617388
0.663716814159292,0.92800635099411,2/3,0.16575682317674284,0.0494491260709565,0.30831998370040337,0.4764740670518973
0.974657012195122,0.948478996753693,1,0.08003596467437006,0.02716261391475895,0.21762713848138115,0.6751742829294898
0.708119658119658,0.895809054374695,2/3,0.15151007209130235,0.046206274331098335,0.29912627181194673,0.5031573817656525
0.0649350649350649,0.8606316447258,2/3,0.495804060310049,0.07995632157450272,0.2689093725964312,0.15533024551901708
0.977589908749329,0.971859872341156,1,0.07892837072453601,0.026829931183521574,0.21575615740994125,0.6784855406820012
0.981773907910272,0.954578042030335,1,0.07852595801682742,0.026708768733157237,0.2150706114366109,0.6796946618134044
0.973351400180669,0.958105504512787,0,0.08006465248650191,0.02717121509933229,0.21767529047501444,0.6750888419391514
0.872807901632736,0.921214759349823,1,0.1029533083043203,0.03378427805306626,0.25151676212479623,0.6117456515178172
0.977589908749329,0.964354634284973,1,0.07910146585623991,0.02688200056933568,0.21605009003891468,0.6779664435355097
0.829665199413099,0.956996202468872,2/3,0.1127968145403071,0.03647692158043214,0.2635487461644645,0.5871775177147962
0.660740740740741,0.916529357433319,0,0.16735034993690523,0.0498007705955775,0.3092375787301166,0.47361130073740065
0.730013550135501,0.941356539726257,0,0.142468802184733,0.04405508865022323,0.2922992596682403,0.5211768494968034
0.942170240415855,0.941421091556549,1,0.08674717809552714,0.029153319091285546,0.22847887095469865,0.6556206318584887
0.970804988662132,0.949564278125763,1,0.08076100822101112,0.02737975455586207,0.21883936630945588,0.673019870913671
0.974657012195122,0.956947207450867,1,0.0798385783494645,0.027103412114971442,0.21729540822858376,0.6757626013069803
0.759957745603679,0.891686320304871,1,0.13492472860137408,0.04220412412626601,0.28595766932578726,0.5369134779465726
0.43236301369863,0.895348429679871,1,0.2697273632233658,0.06791263896308658,0.3336819543485017,0.3286780434650459
0.756677890011223,0.951484978199005,1,0.13372598900131458,0.04190528787059755,0.2848930511232183,0.5394756720048697
0.434782608695652,0.927563607692719,0,0.2664728892984266,0.06746792546452463,0.3337111628477665,0.3323480223892823
0.420694593626924,0.921443402767181,1,0.27417772082929154,0.06850734906952294,0.3335773039800573,0.3237376261211282
0.881519274376417,0.936217963695526,1,0.10042214627712043,0.03307728498293816,0.24819405321164972,0.6183065155282916
0.17799043062201,0.865093886852264,0,0.421623174532819,0.0798927335528698,0.2997241418301716,0.1987599500841396
0.891621312907344,0.95435905456543,0,0.0975355481801479,0.03226367968164287,0.24428473165019082,0.6259160404880184
0.699266975308642,0.883515179157257,0,0.1550431749700214,0.04702716165614079,0.3015782258421588,0.496351437531679
0.965501792114695,0.956076443195343,1,0.08164967111113203,0.027645209902776538,0.22031175164975514,0.6703933673363363
0.913761467889908,0.949483335018158,2/3,0.09264916239959425,0.030868544204348966,0.23736549405845297,0.6391167993376038
0.974657012195122,0.960949420928955,1,0.07974544516145302,0.02707546583369405,0.21713863188179355,0.6760404571230594
0.412838177652534,0.902881741523743,2/3,0.27949995721690424,0.06919830930072479,0.33335699171580035,0.3179447417665706
0.642248062015504,0.934535920619965,0,0.17343156306162857,0.051122398751818565,0.31254691342735574,0.46289912475919714
0.942170240415855,0.934752464294434,1,0.08691475763324401,0.029202477160126666,0.22873947324169752,0.6551432919649318
0.970804988662132,0.952434599399567,1,0.08069350042904343,0.027359558168342485,0.21872691374430014,0.673220027658314
0.078740157480315,0.807354688644409,0,0.49093163486734237,0.08006041895076177,0.2711029099214308,0.15790503626046504
0.974657012195122,0.961734533309937,1,0.07972718691244886,0.02706998614350306,0.21710787752387883,0.6760949494201692
0.741296852407964,0.927413165569305,1,0.1394040663267483,0.04330931683478487,0.2897963635576355,0.5274902532808314
