meteor,bert_f1,halluc,P_Hallucinatory,P_Bad,P_Good,P_Perfect
0.810179493484141,0.916668236255646,1,0.1069141503326713,0.0346419708547364,0.267742036411896,0.5907018424006963
0.866013071895425,0.950532793998718,2/3,0.09970240712502709,0.03265154467263365,0.2582565985990172,0.6093894496033221
0.942170240415855,0.936112880706787,1,0.07502026897644043,0.02547062923061455,0.21897563653883373,0.6805334652541113
0.204994658119658,0.853706896305084,2/3,0.4381352652031872,0.07973163242009468,0.3007575354515657,0.18137556692515244
0.974657012195122,0.955975353717804,1,0.07197157698794528,0.02454355107558716,0.21329608099542038,0.6901887909410471
0.75,0.937719166278839,1,0.13659934430751455,0.042333371462391495,0.29907207047688256,0.5219952137532113
0.970804988662132,0.943071484565735,2/3,0.06996654374924569,0.023928980264933966,0.20945057102619957,0.6966539049596208
0.708096590909091,0.932167172431946,1,0.15211435087570194,0.0460381097801876,0.3112653727643977,0.49058216657971276
0.973351400180669,0.966148436069489,1,0.07461703916449382,0.025348521578110864,0.21823584739858767,0.6817985918588076
0.887107038309788,0.942320346832275,2/3,0.09103243181460335,0.030194536001004108,0.24572750458426654,0.633045527600126
0.728155339805825,0.926246821880341,2/3,0.14096001218121432,0.04339622412109359,0.30275906650058976,0.5128846971971024
0.974657012195122,0.970922946929932,2/3,0.0754265360806827,0.02559349940308897,0.21971752571145328,0.679262438804775
0.970804988662132,0.949067115783691,1,0.07129929378938549,0.02433791711206096,0.21201657213270425,0.6923462169658493
0.846197289156627,0.965717852115631,2/3,0.11097958045142658,0.03574282822244271,0.2727389495201401,0.5805386418059906
0.857826086956522,0.942191600799561,0,0.09970139355685131,0.03265126153666323,0.2582552074746276,0.6093921374318578
0.974657012195122,0.96974116563797,1,0.0751479264228743,0.025509254558064617,0.2192091281103108,0.6801336909087503
0.733185840707965,0.93819135427475,2/3,0.14378038760842252,0.04407463339667586,0.30503275170493277,0.5071122272899689
0.778186274509804,0.908476293087006,1,0.1150605581376915,0.0368326131189185,0.2775136750938031,0.570593153649587
0.965391621129326,0.951238095760346,2/3,0.07304163369935898,0.024869959317629267,0.21531231392753092,0.6867760930554808
0.970804988662132,0.94976019859314,1,0.07145485970852655,0.024385539265255135,0.21231353138203582,0.6918460696441825
0.965501792114695,0.965519070625305,2/3,0.0763575109008409,0.025874465694422435,0.22140452876320116,0.6763634946415356
0.866013071895425,0.950757145881653,0,0.09977062290705942,0.0326705982642994,0.2583501865186273,0.6092085923100139
0.965501792114695,0.951665759086609,1,0.07311399514895729,0.0248919927018756,0.21544776414398922,0.6865462480051778
0.55,0.89046972990036,1/3,0.21180501635842117,0.05834769890707972,0.338513612777376,0.3913336719571231
0.512520044406069,0.891286909580231,0,0.23468324681751773,0.06227565400945362,0.34266587455645175,0.3603752246165769
0.0,0.845065772533417,0,0.6056301481765463,0.07337677865966263,0.21986650244207606,0.10112657072171505
0.182038834951456,0.881205916404724,2/3,0.4808984693151665,0.07974849891943186,0.28217090280616475,0.1571821289592369
0.974657012195122,0.958447515964508,1,0.07253273743073578,0.024714863402538298,0.21435653610298896,0.688395863063737
0.942170240415855,0.939315557479858,1,0.07577633081647266,0.02569916384960956,0.22035350951388702,0.6781709958200308
0.970804988662132,0.95179283618927,1,0.0719129038387255,0.024525621760229557,0.2131848067796538,0.6903766676213912
0.922448979591837,0.941101610660553,2/3,0.08112892966214999,0.02730149816465799,0.22977153634371897,0.661798035829473
0.846637228260869,0.965838730335236,2/3,0.11087031819160074,0.03571344065178099,0.2726078335791179,0.5808084075775004
0.785141867013212,0.931670665740967,2/3,0.12073326965634856,0.03832214718457008,0.2837669105773012,0.5571776725817801
0.854119425547997,0.947325646877289,2/3,0.1024422876501421,0.03341342734265754,0.2619566084633942,0.6021876765438061
0.889285714285714,0.963549911975861,2/3,0.09650143559655668,0.03175259450764166,0.25377907653152787,0.6179668933642738
0.895294540229885,0.930091977119446,1,0.08543132473318768,0.028569711165146824,0.2369296680973711,0.6490692960042944
0.697321615400712,0.888971507549286,2/3,0.13856876996209988,0.04281549271143997,0.30076346217966116,0.517852275146799
0.983321948998179,0.971347808837891,1,0.07346669329760705,0.02499931416344274,0.21610634943192508,0.6854276431070252
0.817901234567901,0.942161321640015,1,0.11274953221746098,0.03621735275231372,0.27483890482888806,0.5761942102013372
0.746698679471789,0.914334654808044,1,0.12879791830006657,0.04038940480123701,0.29193126330837627,0.5388814135903202
0.873310363106281,0.951414048671722,2/3,0.09772888715434967,0.0320984373490424,0.25551608004560955,0.6146565954509984
0.862771739130435,0.954947769641876,0,0.10207246550578196,0.03331099748760148,0.261464193050839,0.6031523439557775
0.0588235294117647,0.812396049499512,1,0.5288383569235726,0.07839871300881596,0.25936816012528274,0.13339476994232868
0.856564748201439,0.950871169567108,1,0.10277128961847647,0.0335044445317821,0.2623928542991667,0.6013314115505748
0.63144183939291,0.928448379039764,0,0.18749906865588942,0.05370094452463542,0.33066044679812057,0.42813954002135457
0.045045045045045,0.82813572883606,2/3,0.5538651936003062,0.0771400275625963,0.24683011394355203,0.1221646648935455
0.691836734693878,0.909819602966309,2/3,0.14960357815317202,0.045453027587854494,0.3094621177865345,0.495481276472439
0.881519274376417,0.937755405902863,1,0.09134837798118155,0.03028530882754374,0.24620683589354392,0.6321594772977308
0.596301020408163,0.914278924465179,2/3,0.19890791653232462,0.05594359702406668,0.33483149493637293,0.4103169915072358
0.891621312907344,0.946291863918304,1/3,0.09085718982573569,0.030144147712555205,0.24546087476866074,0.6335377876930484
0.73092280390417,0.924544334411621,0,0.13911634969750034,0.0429489265924379,0.3012260203818543,0.5167087033282074
0.119047619047619,0.888293027877808,1,0.5411062917246211,0.07782830911200489,0.2532691812136906,0.12779621794968343
0.74125709678503,0.958804726600647,2/3,0.14902462974923172,0.045317327800368845,0.3090373482020592,0.4966206942483402
0.403225806451613,0.926159977912903,0,0.33469360732979386,0.0746207068980258,0.33504611795063016,0.2556395678215502
0.297157622739018,0.871280431747437,1,0.3758805153429129,0.07754513481487413,0.32365229925715644,0.22292205058505654
0.446,0.90521901845932,1,0.2879291327025381,0.0698005660457437,0.3429058180443218,0.2993644832073964
0.942170240415855,0.94158935546875,1,0.07631734997990774,0.025862362297480776,0.22133212742778835,0.6764881602948232
0.642159572507831,0.914295434951782,1,0.17490829294212196,0.0510979364032538,0.32495526438702915,0.4490385062675951
0.390625,0.903140366077423,1,0.3270567077162515,0.07394429170758876,0.33674024857549845,0.2622587520006613
0.238095238095238,0.912616193294525,1,0.45924018801293875,0.07988705602374291,0.2918244522463467,0.16904830371697166
